# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-2.647734 27.260731 1.617762 -49696.138193 -11965.732467 1521.084038 7.559720 -31.230489 0.892004 42511.893932 7773.815652 6310.395361
-23.500124 1.189942 0.917461 -1342.918118 -40703.566132 -2711.984195 -20.724839 11.096346 -0.299146 -20372.670491 -35323.538324 -5471.468051
-126.122789 10.179504 -0.504207 4738.636500 -53862.676373 -2997.000456 -88.322606 -89.062635 -3.963931 32392.495142 -43704.700274 640.833944
-18.299631 -34.971593 2.616807 43632.444507 -23585.311493 94.630708 -17.670829 35.125492 2.603600 -44617.165911 -22087.176264 585.275580
-38.571942 8.437735 0.541349 -26632.943487 -41352.091850 5639.341594 36.687465 31.595441 1.589491 -27094.218081 26267.783755 -2944.556594
-7.197695 -31.796750 -1.052022 51695.308378 -9971.387131 2127.423515 -23.586595 26.365985 -1.187481 -39511.541996 -28565.084739 -1129.309476
98.108617 12.359223 -0.134960 -9960.029419 47957.726305 737.539192 101.346902 53.926059 0.719878 -22502.234746 35666.680672 35.917059
4.430626 -27.577469 5.053526 51344.637848 3345.590743 -2355.303321 16.578186 -27.067616 -5.007227 41711.781027 18201.011441 -7082.203228
84.453059 29.109231 3.277565 -22710.094759 47236.796944 -6003.572475 74.780854 81.461992 -8.186228 -37471.256265 21367.530554 -409.433666
-107.861912 32.165753 -2.159275 -17012.478632 -47647.455815 3516.727187 -145.979723 5.485240 -5.870186 -4919.337973 -38769.638986 1050.526104
-73.662866 -13.210384 -5.530601 15888.495416 -50930.063794 2858.246288 41.578107 -78.825756 -4.890709 44301.335665 11291.070701 3748.639515
39.761146 30.264267 -10.319763 -45720.670020 35830.381088 284.406784 -80.986328 -16.161185 -7.302466 2003.390620 -34277.173203 -10469.349537
-7.236367 9.400547 -4.238125 -37151.233138 -33977.457063 -1660.899065 -9.389556 -8.911638 -3.881697 21071.908588 -43381.182683 9153.037276
110.245474 67.100257 -6.778350 -33760.340408 37238.393604 -2524.091779 -175.459162 -39.682347 -8.472722 4850.160808 -35211.761350 -2582.822866
-8.505909 -78.806822 0.245463 54459.800070 -11364.389421 -5295.672872 40.721612 98.675351 -2.735722 -33588.790015 26376.229776 3053.621656
19.516197 8.606863 1.006698 -16525.691158 45879.655525 -663.057202 20.083524 -6.167821 -0.596348 14611.662333 47178.404533 4791.041920
87.058739 -96.423615 3.029262 40871.589421 25644.130908 5922.685561 -92.262177 85.652244 -6.097030 -28391.087440 -40555.858542 5164.627427
-1.425437 5.120624 -0.470221 -38052.275476 -21717.233911 -2611.032269 -4.625078 2.243483 0.531857 -24601.271377 -36889.193870 -1191.928513
-26.545829 -15.516574 -0.517080 28687.315203 -48050.886495 -2482.107553 30.399491 -6.094598 -0.072592 7478.625569 55102.902886 3410.727277
8.375914 3.521795 0.388018 -18625.788089 45023.417251 438.831326 12.269980 7.040432 0.125136 -29503.147043 19151.910784 -2992.253047
-5.839935 -40.213637 -16.594987 45651.274392 -15155.858170 -9576.646007 -23.417614 28.272629 -13.255325 -36157.701838 -38519.709734 -13752.799083
-2.010799 1.470861 5.010962 -21419.787990 -41387.573660 -591.855117 1.857940 -1.900456 4.957393 43186.054079 17575.619081 1187.144721
19.710455 55.526260 0.370969 -49312.029288 5584.929397 3644.648318 -6.939338 -63.770240 1.592535 45170.302901 4658.515279 -1954.635150
40.188437 -32.746232 0.180335 31234.443598 40939.199048 -2397.311758 -54.654123 -16.855564 0.795084 12278.842999 -45030.929849 -1336.294635
-3.370329 27.831927 -0.717611 -47072.215296 -6579.896854 -1373.616072 -2.280448 -27.304169 0.263926 48504.992101 -3463.507285 -3566.133846
-37.497944 -106.693749 0.063500 40372.361059 -15474.100808 -7345.778300 -89.001006 -54.345921 -8.576758 25429.020305 -39390.139073 -4313.395170
-10.601173 8.722740 -3.458971 -37364.031036 -25177.807269 -2576.141128 9.120901 -14.831336 2.225037 35405.713796 7424.374672 -14630.397298
25.816997 77.893186 -0.172774 -48469.060123 18425.747764 -3846.961904 83.411080 25.025947 -1.077845 -20470.333247 44823.991048 3440.410122
-11.190517 -44.507691 -4.637828 47208.381701 -9795.577478 2326.572329 -41.613900 21.823154 3.024481 -22295.998709 -41432.901827 -8092.847653
2.648279 -71.931030 -3.368967 45740.129897 1554.779630 -4303.659684 59.748602 -39.109699 3.352447 26410.146008 37847.903066 4372.157487
-55.118139 -0.264143 -4.663678 6715.085337 -45241.369543 -1083.018910 -44.122111 -16.994443 -0.354027 24176.350616 -47244.571967 10290.740101
