# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-6.017097 23.860516 -4.416608 -35551.250718 -7438.846677 -3091.735685 -24.050533 -4.646482 4.483654 9956.262428 -35207.945243 195.777338
-73.672788 -22.943188 -9.761305 4995.241060 -36437.924118 -14934.906420 -24.275440 -64.070139 -14.029218 43556.880780 -345.813891 -9455.157839
-23.684143 81.449540 -2.197657 -26440.521275 -23127.531972 -6428.048360 -12.147012 -47.376415 -1.141341 46996.722305 -39086.801467 10332.566615
2.670379 -46.672055 -9.132223 40746.334214 17365.759708 6876.586943 -14.738276 42.509902 7.590413 -35749.504142 -29065.840986 -11089.791228
-2.165384 -64.584304 9.529581 37810.834196 -8337.035631 -731.224292 58.783961 -6.643141 8.935682 -7936.690112 42745.738999 -2417.442698
-38.241394 -2.766769 -0.737310 -18852.083934 -52370.196333 2315.511591 -14.280065 -28.508028 -0.840121 47612.632213 -41540.969468 1517.067645
53.193487 -19.486249 -1.488934 15788.314141 29125.007293 -4039.767473 19.616086 42.906797 -1.331067 -44449.303838 -2562.262920 -4074.217592
-94.154730 -19.670131 0.294496 24188.310839 -35466.100954 -6908.867906 -56.768421 -43.594275 -3.299393 45486.248713 -32274.076760 7755.673823
-21.638924 -39.546585 13.535381 38320.249523 -32174.228880 2508.233724 -38.984661 -34.774808 12.557807 33251.259891 -27070.762720 -11609.245998
-8.105308 -55.774071 7.591741 40634.251568 7129.463331 -7469.694250 61.838319 6.452408 -4.457049 -9381.366667 34736.046927 -9982.901475
32.440327 5.067259 -21.629699 -930.435409 51657.179575 -903.614971 -36.976844 1.334643 16.441553 15481.761570 -46005.906004 19192.362512
-8.492361 -5.953081 9.035886 26893.251318 -28076.505124 243.841026 -10.724540 10.087242 8.904843 -22350.011224 -16139.018781 -13787.817096
3.927560 23.469454 -17.433081 -34720.661552 -194.499434 19752.285460 -16.010087 21.505099 20.940608 -27652.314477 -13706.691126 -4185.671495
33.936801 29.250962 14.837390 -21956.149846 34131.657036 -2469.203470 1.887887 45.597457 -15.305206 -39365.667495 2957.492109 1506.200758
5.213537 43.577096 -21.779464 -35580.742884 5898.876156 -245.633687 -4.167221 36.595851 17.833371 -41619.465479 -13956.471200 -12789.701311
21.804181 -44.329962 -2.162788 14922.279501 17923.633732 772.440463 19.286880 -5.045838 1.220235 55917.825407 39931.909408 4743.684882
-7.967409 75.341166 10.481787 -40310.853622 -18608.270322 6502.998867 28.765530 -47.148883 11.010994 48103.107339 31889.510193 -1711.128070
-2.128619 -11.281487 -2.139630 40303.996490 -7058.251256 -10915.708981 -11.361236 -2.116464 0.192184 9132.843305 -39642.165794 18808.210934
-66.888411 -26.026510 15.634933 18321.201585 -33303.556497 9980.521372 -7.327522 71.185455 -1.575173 -37006.540749 -9570.965849 18426.259167
47.182656 -21.640884 27.034005 13108.858965 30282.869138 -1825.674899 -45.452421 9.877020 24.537558 -18828.546470 -33585.528436 7617.842514
28.383095 16.596823 -1.029712 -28172.097828 21487.915130 2256.233471 25.546050 -23.271587 0.129878 25946.800268 18540.542068 -4565.647135
17.057640 -63.604318 2.075055 43834.875903 -2274.750942 3943.617167 -11.179631 59.023105 -1.676831 -47966.371547 7320.338829 -4665.189696
-18.134304 -43.034386 -1.709440 33544.042496 -25903.259388 4477.532839 -0.094992 -47.689904 -2.490223 40137.223346 9005.863893 -1118.872901
