# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-43.912486 -20.531846 12.128721 33892.201028 7840.709927 -329.028507 -12.593238 58.307888 10.944888 -1999.143540 -18660.692578 6645.278349
-21.050216 12.841762 -1.741968 -26557.587076 10824.732845 4491.160511 -25.716182 -11.584759 0.601203 -7898.924589 -7959.594945 -13358.212967
-43.341309 17.071444 -2.146857 5068.080947 -2384.875095 2165.761322 1.829138 -27.767828 1.366677 -2690.949331 50059.619700 3673.267951
19.527553 -29.963984 -5.116142 2497.353161 810.780531 17503.352099 -11.432605 -23.984103 -4.256807 18762.901735 31431.868560 17919.356818
-37.365283 -14.221127 90.098674 15347.557861 13945.305110 22979.343623 4.032342 -12.391467 -87.799490 -16797.930690 -23475.119026 22062.954504
-1.773392 24.580668 -58.355186 28430.098292 -6241.737703 -10810.943897 46.919330 -0.895869 19.344706 28563.531549 -15203.775035 -34998.618786
-32.516668 -0.175572 -9.799147 -17537.429457 -10097.737960 15201.872744 1.880023 -27.446988 -16.434562 10594.105300 18345.219022 9430.488495
4.507292 4.803419 -22.448431 3959.793564 35510.185086 -12000.404646 8.869033 3.733796 17.691400 629.304821 16166.804142 -42833.241993
22.226928 -8.711744 -7.570840 15155.103128 -21068.011453 -16844.741601 18.803756 -20.180888 -9.720610 -7039.760970 -10326.722259 -7841.920273
-3.980391 -27.637439 21.013042 -18080.968896 21445.296579 -13047.230182 -18.257940 1.925941 -8.244803 -23248.751308 34497.213058 -42883.894826
-11.387355 -28.033254 44.894452 26852.321372 -45323.157857 -16440.275560 -34.976483 -15.690962 -36.183932 42086.574257 -17397.118902 -34387.869389
-2.498096 15.651638 0.086306 8502.117454 -13878.690155 16978.816555 2.970220 -4.245898 1.913039 -42244.802330 27259.040103 -14441.496918
-21.155077 31.817830 30.779153 16498.713110 -3222.684152 7864.306284 34.084325 5.143707 -35.180584 10489.999363 -11818.324873 2044.228127
6.459832 51.232792 9.382487 -19386.667268 5653.646425 -12568.034358 -10.653616 -48.268406 -11.527136 23104.854208 8023.547851 -8004.124811
71.401133 34.421988 7.992754 -12238.281240 -1788.566045 -14413.868209 39.760019 -64.875102 29.521623 827.273204 6033.470384 -7830.652862
-16.524651 -11.741918 27.022610 727.101574 16577.465361 12410.477961 -12.332880 3.701628 25.035427 24126.616527 14278.213932 -16103.383122
25.988909 -12.949402 9.396093 8258.141072 -10563.116255 4473.975167 -15.797287 -2.225518 2.278322 43124.043614 16683.827888 -32781.911811
-33.024142 -21.818948 -20.170329 -5669.638683 -17240.347902 -14436.235120 -36.154538 -7.488662 2.560972 -29130.960597 -18359.910747 -27617.443681
-9.032579 8.756983 -7.382577 -19210.963128 32171.896270 11753.107899 18.062560 0.951344 5.438356 22924.990653 -5567.072208 -21737.811588
6.121853 9.389541 18.973978 42509.701165 14375.143378 1237.667418 18.520175 -1.664157 -24.778415 20293.536880 -18623.782343 -436.290375
-26.657727 -25.309303 -24.732398 -7110.165459 -10732.973556 3265.546254 -21.649541 19.088716 -2.794572 -31819.087236 23151.630543 35552.212698
2.516391 -29.495466 13.360061 -10686.107523 -8073.327104 -1011.394057 30.851277 -9.079217 8.830251 -2311.452543 -10194.754162 -14177.466454
43.185432 20.366972 24.953007 1538.388113 7653.797302 16538.139285 0.893535 -6.569083 1.521347 50320.067822 -35092.623801 66702.048890
4.720863 13.146331 0.338524 638.473878 -12762.389099 25722.424245 -7.062387 1.479739 -2.996896 -33027.537247 16639.586277 -22156.988276
-14.643745 28.453235 -18.234636 160.724008 23381.346634 16379.094193 -15.080394 21.505034 25.369095 22740.417103 -9420.830602 -508.622198
10.317415 -8.148349 12.364005 22738.381813 -2704.874845 47004.964979 11.947224 -10.351723 22.929275 -5273.600391 17741.677659 -22333.898696
7.784236 27.084444 16.094186 244.720621 -10128.546921 -13239.270684 2.889729 27.203951 -16.544874 1384.957548 -16539.548910 5868.334705
-42.992251 39.494646 7.078116 4495.774329 -26540.274947 -9557.090864 -27.243982 -56.821277 5.736159 7561.746961 -19593.282802 -8080.173594
