# spectrum_id category
1007 Grozd_27
1008 Grozd_61
1009 Grozd_56
1010 Grozd_36
1011 Grozd_66
1012 Grozd_120
1013 Grozd_54
1014 Grozd_7
1015 Grozd_124
1016 Šum
1017 Šum
1018 Grozd_67
1019 Grozd_22
1020 Grozd_46
1021 Grozd_39
1022 Grozd_161
1023 Grozd_0
1024 Grozd_20
1025 Šum
1026 Grozd_29
1027 Grozd_162
1028 Grozd_144
1029 Grozd_7
1030 Grozd_40
1031 Grozd_79
1032 Grozd_7
1033 Grozd_130
1034 Grozd_75
1035 Grozd_163
1036 Grozd_45
1037 Grozd_148
1038 Šum
1039 Grozd_54
1040 Grozd_135
1041 Grozd_12
1042 Grozd_86
1043 Grozd_80
1044 Grozd_29
1045 Grozd_7
1046 Grozd_21
1047 Grozd_155
1048 Grozd_9
1049 Šum
1050 Grozd_139
1051 Grozd_90
1052 Grozd_47
1053 Grozd_41
1054 Grozd_12
1055 Šum
1056 Grozd_54
1057 Grozd_115
1058 Grozd_37
1059 Grozd_41
1060 Grozd_164
1061 Grozd_41
1062 Grozd_7
1063 Grozd_14
1064 Grozd_130
1065 Grozd_65
1066 Grozd_63
1067 Grozd_20
1068 Grozd_37
1069 Grozd_41
1070 Grozd_137
1071 Grozd_60
1072 Grozd_65
1073 Grozd_70
1074 Grozd_130
1075 Grozd_32
1076 Šum
1077 Grozd_99
1078 Grozd_120
1079 Grozd_37
1080 Grozd_7
1081 Šum
1082 Grozd_130
1083 Grozd_165
1084 Grozd_148
1085 Grozd_29
1086 Grozd_34
1087 Grozd_29
1088 Grozd_56
1089 Šum
1090 Šum
1091 Grozd_60
1092 Grozd_166
1093 Grozd_127
1094 Grozd_73
1095 Grozd_9
1096 Grozd_29
1097 Grozd_47
1098 Grozd_152
1099 Grozd_173
1100 Grozd_82
1101 Grozd_115
1102 Grozd_83
1103 Grozd_137
1104 Grozd_40
1105 Grozd_115
1106 Grozd_34
1107 Grozd_126
1108 Grozd_42
1109 Grozd_3
1110 Grozd_117
1111 Grozd_37
1112 Grozd_55
1113 Grozd_112
1114 Grozd_116
1115 Grozd_98
1116 Šum
1117 Grozd_43
1118 Grozd_117
1119 Grozd_34
1120 Grozd_82
1121 Grozd_60
1122 Grozd_54
1123 Grozd_37
1124 Šum
1125 Grozd_104
1126 Grozd_8
1127 Grozd_12
1128 Grozd_82
1129 Grozd_96
1130 Grozd_161
1131 Grozd_54
1132 Grozd_42
1133 Grozd_91
1134 Grozd_104
1135 Šum
1136 Grozd_80
1137 Grozd_55
1138 Grozd_167
1139 Grozd_54
1140 Grozd_61
1141 Grozd_7
1142 Grozd_18
1143 Grozd_162
1144 Grozd_106
1145 Grozd_138
1146 Šum
1147 Grozd_74
1148 Grozd_154
1149 Grozd_39
1150 Grozd_136
1151 Grozd_124
1152 Grozd_168
1153 Grozd_104
1154 Grozd_29
1155 Grozd_55
1156 Grozd_56
1157 Grozd_14
1158 Grozd_73
1159 Grozd_37
1160 Grozd_148
1161 Grozd_93
1162 Grozd_14
1163 Grozd_112
1164 Grozd_89
1165 Grozd_54
1166 Grozd_37
1167 Grozd_37
1168 Grozd_49
1169 Grozd_35
1170 Grozd_169
1171 Grozd_146
1172 Grozd_67
1173 Grozd_97
1174 Grozd_20
1175 Grozd_80
1176 Grozd_60
